"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2023 00:00 - 01/01/2023 01:00","BZN|CZ","5363.27","5226.00"
"01/01/2023 01:00 - 01/01/2023 02:00","BZN|CZ","5298.83","5110.00"
"01/01/2023 02:00 - 01/01/2023 03:00","BZN|CZ","5203.81","5105.00"
"01/01/2023 03:00 - 01/01/2023 04:00","BZN|CZ","5051.55","5040.00"
"01/01/2023 04:00 - 01/01/2023 05:00","BZN|CZ","4980.12","5082.00"
"01/01/2023 05:00 - 01/01/2023 06:00","BZN|CZ","4952.00","5096.00"
"01/01/2023 06:00 - 01/01/2023 07:00","BZN|CZ","4973.02","5125.00"
"01/01/2023 07:00 - 01/01/2023 08:00","BZN|CZ","4986.27","5148.00"
"01/01/2023 08:00 - 01/01/2023 09:00","BZN|CZ","5091.37","5183.00"
"01/01/2023 09:00 - 01/01/2023 10:00","BZN|CZ","5412.34","5579.00"
"01/01/2023 10:00 - 01/01/2023 11:00","BZN|CZ","5696.34","5940.00"
"01/01/2023 11:00 - 01/01/2023 12:00","BZN|CZ","5847.79","6031.00"
"01/01/2023 12:00 - 01/01/2023 13:00","BZN|CZ","5882.44","6046.00"
"01/01/2023 13:00 - 01/01/2023 14:00","BZN|CZ","5921.61","6049.00"
"01/01/2023 14:00 - 01/01/2023 15:00","BZN|CZ","5947.78","6032.00"
"01/01/2023 15:00 - 01/01/2023 16:00","BZN|CZ","6039.85","6109.00"
"01/01/2023 16:00 - 01/01/2023 17:00","BZN|CZ","6285.50","6300.00"
"01/01/2023 17:00 - 01/01/2023 18:00","BZN|CZ","6383.52","6364.00"
"01/01/2023 18:00 - 01/01/2023 19:00","BZN|CZ","6445.00","6340.00"
"01/01/2023 19:00 - 01/01/2023 20:00","BZN|CZ","6354.40","6284.00"
"01/01/2023 20:00 - 01/01/2023 21:00","BZN|CZ","6249.99","6198.00"
"01/01/2023 21:00 - 01/01/2023 22:00","BZN|CZ","5912.97","5922.00"
"01/01/2023 22:00 - 01/01/2023 23:00","BZN|CZ","5804.24","5801.00"
"01/01/2023 23:00 - 02/01/2023 00:00","BZN|CZ","5536.90","5519.00"
"02/01/2023 00:00 - 02/01/2023 01:00","BZN|CZ","5268.06","5582.00"
"02/01/2023 01:00 - 02/01/2023 02:00","BZN|CZ","5252.41","5620.00"
"02/01/2023 02:00 - 02/01/2023 03:00","BZN|CZ","5128.73","5506.00"
"02/01/2023 03:00 - 02/01/2023 04:00","BZN|CZ","5016.74","5405.00"
"02/01/2023 04:00 - 02/01/2023 05:00","BZN|CZ","5191.23","5520.00"
"02/01/2023 05:00 - 02/01/2023 06:00","BZN|CZ","5764.91","5866.00"
"02/01/2023 06:00 - 02/01/2023 07:00","BZN|CZ","6775.55","6721.00"
"02/01/2023 07:00 - 02/01/2023 08:00","BZN|CZ","7399.61","7229.00"
"02/01/2023 08:00 - 02/01/2023 09:00","BZN|CZ","7693.03","7436.00"
"02/01/2023 09:00 - 02/01/2023 10:00","BZN|CZ","7918.50","7784.00"
"02/01/2023 10:00 - 02/01/2023 11:00","BZN|CZ","7999.95","7840.00"
"02/01/2023 11:00 - 02/01/2023 12:00","BZN|CZ","8061.76","7848.00"
"02/01/2023 12:00 - 02/01/2023 13:00","BZN|CZ","8113.35","7871.00"
"02/01/2023 13:00 - 02/01/2023 14:00","BZN|CZ","8142.54","7841.00"
"02/01/2023 14:00 - 02/01/2023 15:00","BZN|CZ","8011.27","7800.00"
"02/01/2023 15:00 - 02/01/2023 16:00","BZN|CZ","8040.96","7860.00"
"02/01/2023 16:00 - 02/01/2023 17:00","BZN|CZ","8157.84","8014.00"
"02/01/2023 17:00 - 02/01/2023 18:00","BZN|CZ","8143.71","8190.00"
"02/01/2023 18:00 - 02/01/2023 19:00","BZN|CZ","8043.03","7980.00"
"02/01/2023 19:00 - 02/01/2023 20:00","BZN|CZ","8015.57","7909.00"
"02/01/2023 20:00 - 02/01/2023 21:00","BZN|CZ","7682.65","7667.00"
"02/01/2023 21:00 - 02/01/2023 22:00","BZN|CZ","7281.17","7257.00"
"02/01/2023 22:00 - 02/01/2023 23:00","BZN|CZ","6850.03","6880.00"
"02/01/2023 23:00 - 03/01/2023 00:00","BZN|CZ","6347.79","6495.00"
"03/01/2023 00:00 - 03/01/2023 01:00","BZN|CZ","6023.58","6182.00"
"03/01/2023 01:00 - 03/01/2023 02:00","BZN|CZ","6012.34","6188.00"
"03/01/2023 02:00 - 03/01/2023 03:00","BZN|CZ","5939.56","6034.00"
"03/01/2023 03:00 - 03/01/2023 04:00","BZN|CZ","5858.61","5936.00"
"03/01/2023 04:00 - 03/01/2023 05:00","BZN|CZ","6043.53","6066.00"
"03/01/2023 05:00 - 03/01/2023 06:00","BZN|CZ","6611.17","6478.00"
"03/01/2023 06:00 - 03/01/2023 07:00","BZN|CZ","7737.68","7353.00"
"03/01/2023 07:00 - 03/01/2023 08:00","BZN|CZ","8267.63","7771.00"
"03/01/2023 08:00 - 03/01/2023 09:00","BZN|CZ","8395.95","7936.00"
"03/01/2023 09:00 - 03/01/2023 10:00","BZN|CZ","8544.22","8257.00"
"03/01/2023 10:00 - 03/01/2023 11:00","BZN|CZ","8569.04","8262.00"
"03/01/2023 11:00 - 03/01/2023 12:00","BZN|CZ","8542.93","8324.00"
"03/01/2023 12:00 - 03/01/2023 13:00","BZN|CZ","8599.58","8363.00"
"03/01/2023 13:00 - 03/01/2023 14:00","BZN|CZ","8623.69","8363.00"
"03/01/2023 14:00 - 03/01/2023 15:00","BZN|CZ","8433.69","8234.00"
"03/01/2023 15:00 - 03/01/2023 16:00","BZN|CZ","8465.73","8234.00"
"03/01/2023 16:00 - 03/01/2023 17:00","BZN|CZ","8569.07","8426.00"
"03/01/2023 17:00 - 03/01/2023 18:00","BZN|CZ","8557.86","8409.00"
"03/01/2023 18:00 - 03/01/2023 19:00","BZN|CZ","8471.92","8228.00"
"03/01/2023 19:00 - 03/01/2023 20:00","BZN|CZ","8409.55","8175.00"
"03/01/2023 20:00 - 03/01/2023 21:00","BZN|CZ","8104.91","7946.00"
"03/01/2023 21:00 - 03/01/2023 22:00","BZN|CZ","7648.15","7532.00"
"03/01/2023 22:00 - 03/01/2023 23:00","BZN|CZ","7283.86","7156.00"
"03/01/2023 23:00 - 04/01/2023 00:00","BZN|CZ","6893.72","6768.00"
"04/01/2023 00:00 - 04/01/2023 01:00","BZN|CZ","6612.09","6526.00"
"04/01/2023 01:00 - 04/01/2023 02:00","BZN|CZ","6653.56","6675.00"
"04/01/2023 02:00 - 04/01/2023 03:00","BZN|CZ","6592.52","6519.00"
"04/01/2023 03:00 - 04/01/2023 04:00","BZN|CZ","6463.61","6454.00"
"04/01/2023 04:00 - 04/01/2023 05:00","BZN|CZ","6625.73","6618.00"
"04/01/2023 05:00 - 04/01/2023 06:00","BZN|CZ","7215.34","7105.00"
"04/01/2023 06:00 - 04/01/2023 07:00","BZN|CZ","8331.38","8102.00"
"04/01/2023 07:00 - 04/01/2023 08:00","BZN|CZ","8852.41","8566.00"
"04/01/2023 08:00 - 04/01/2023 09:00","BZN|CZ","8938.52","8730.00"
"04/01/2023 09:00 - 04/01/2023 10:00","BZN|CZ","9018.92","8880.00"
"04/01/2023 10:00 - 04/01/2023 11:00","BZN|CZ","8944.88","8877.00"
"04/01/2023 11:00 - 04/01/2023 12:00","BZN|CZ","8904.55","8885.00"
"04/01/2023 12:00 - 04/01/2023 13:00","BZN|CZ","8967.89","8976.00"
"04/01/2023 13:00 - 04/01/2023 14:00","BZN|CZ","9010.03","9017.00"
"04/01/2023 14:00 - 04/01/2023 15:00","BZN|CZ","8856.25","8895.00"
"04/01/2023 15:00 - 04/01/2023 16:00","BZN|CZ","8893.94","8945.00"
"04/01/2023 16:00 - 04/01/2023 17:00","BZN|CZ","8816.73","8976.00"
"04/01/2023 17:00 - 04/01/2023 18:00","BZN|CZ","8689.78","8889.00"
"04/01/2023 18:00 - 04/01/2023 19:00","BZN|CZ","8500.82","8628.00"
"04/01/2023 19:00 - 04/01/2023 20:00","BZN|CZ","8414.31","8529.00"
"04/01/2023 20:00 - 04/01/2023 21:00","BZN|CZ","8118.40","8251.00"
"04/01/2023 21:00 - 04/01/2023 22:00","BZN|CZ","7644.04","7785.00"
"04/01/2023 22:00 - 04/01/2023 23:00","BZN|CZ","7303.35","7354.00"
"04/01/2023 23:00 - 05/01/2023 00:00","BZN|CZ","6848.40","7007.00"
"05/01/2023 00:00 - 05/01/2023 01:00","BZN|CZ","6527.89","6738.00"
"05/01/2023 01:00 - 05/01/2023 02:00","BZN|CZ","6522.78","6740.00"
"05/01/2023 02:00 - 05/01/2023 03:00","BZN|CZ","6383.89","6553.00"
"05/01/2023 03:00 - 05/01/2023 04:00","BZN|CZ","6289.99","6452.00"
"05/01/2023 04:00 - 05/01/2023 05:00","BZN|CZ","6473.65","6593.00"
"05/01/2023 05:00 - 05/01/2023 06:00","BZN|CZ","6992.19","7089.00"
"05/01/2023 06:00 - 05/01/2023 07:00","BZN|CZ","8048.87","8114.00"
"05/01/2023 07:00 - 05/01/2023 08:00","BZN|CZ","8525.67","8594.00"
"05/01/2023 08:00 - 05/01/2023 09:00","BZN|CZ","8638.08","8749.00"
"05/01/2023 09:00 - 05/01/2023 10:00","BZN|CZ","8779.05","8968.00"
"05/01/2023 10:00 - 05/01/2023 11:00","BZN|CZ","8722.30","8957.00"
"05/01/2023 11:00 - 05/01/2023 12:00","BZN|CZ","8688.73","8919.00"
"05/01/2023 12:00 - 05/01/2023 13:00","BZN|CZ","8603.51","8940.00"
"05/01/2023 13:00 - 05/01/2023 14:00","BZN|CZ","8567.93","8895.00"
"05/01/2023 14:00 - 05/01/2023 15:00","BZN|CZ","8376.44","8717.00"
"05/01/2023 15:00 - 05/01/2023 16:00","BZN|CZ","8403.72","8754.00"
"05/01/2023 16:00 - 05/01/2023 17:00","BZN|CZ","8475.98","8837.00"
"05/01/2023 17:00 - 05/01/2023 18:00","BZN|CZ","8483.10","8795.00"
"05/01/2023 18:00 - 05/01/2023 19:00","BZN|CZ","8356.32","8563.00"
"05/01/2023 19:00 - 05/01/2023 20:00","BZN|CZ","8305.53","8478.00"
"05/01/2023 20:00 - 05/01/2023 21:00","BZN|CZ","8004.45","8200.00"
"05/01/2023 21:00 - 05/01/2023 22:00","BZN|CZ","7562.17","7706.00"
"05/01/2023 22:00 - 05/01/2023 23:00","BZN|CZ","7210.26","7289.00"
